resource,action,scope
USER-MANAGEMENT,READ,APPLICATION
USER-MANAGEMENT,WRITE,APPLICATION
USER-MANAGEMENT,UPDATE,APPLICATION
USER-MANAGEMENT,DELETE,APPLICATION
APPLICATION-METRICS,READ,APPLICATION
HEALTH-CHECKS,READ,APPLICATION
CONFIGURATION,READ,APPLICATION
AUDITS,READ,APPLICATION
LOGS,READ,APPLICATION
LOGS,UPDATE,APPLICATION
API,READ,APPLICATION
DATABASE,READ,APPLICATION
PERMISSION-MANAGEMENT,READ,APPLICATION
PERMISSION-MANAGEMENT,UPDATE,APPLICATION
PERMISSION-MANAGEMENT,DELETE,APPLICATION
DASHBOARDS,READ,APPLICATION
DASHBOARDS,WRITE,APPLICATION
VISUAL-METADATA,READ,APPLICATION
VISUAL-METADATA,WRITE,APPLICATION
VISUAL-METADATA,UPDATE,APPLICATION
VISUAL-METADATA,DELETE,APPLICATION
CONNECTIONS,READ,APPLICATION
CONNECTIONS,WRITE,APPLICATION
CONNECTIONS,UPDATE,APPLICATION
CONNECTIONS,DELETE,APPLICATION
DATASOURCES,READ,APPLICATION
DATASOURCES,WRITE,APPLICATION
DATASOURCES,UPDATE,APPLICATION
DATASOURCES,DELETE,APPLICATION
DRILLDOWN,READ,APPLICATION
DRILLDOWN,WRITE,APPLICATION
DRILLDOWN,UPDATE,APPLICATION
DRILLDOWN,DELETE,APPLICATION
VISUALIZATIONS,READ,APPLICATION
VISUALIZATIONS,WRITE,APPLICATION
VISUALIZATIONS,UPDATE,APPLICATION
VISUALIZATIONS,DELETE,APPLICATION
SERVICE,READ,APPLICATION
SERVICE,WRITE,APPLICATION
SERVICE,UPDATE,APPLICATION
SERVICE,DELETE,APPLICATION
VISUALIZATION_COLORS,READ,APPLICATION
VISUALIZATION_COLORS,WRITE,APPLICATION
VISUALIZATION_COLORS,UPDATE,APPLICATION
VISUALIZATION_COLORS,DELETE,APPLICATION
FILE_UPLOADER,WRITE,APPLICATION
