user_grp_name,permission_resource,permission_action,permission_scope
ROLE_ADMIN,USER-MANAGEMENT,READ,APPLICATION
ROLE_ADMIN,USER-MANAGEMENT,WRITE,APPLICATION
ROLE_ADMIN,USER-MANAGEMENT,UPDATE,APPLICATION
ROLE_ADMIN,USER-MANAGEMENT,DELETE,APPLICATION
ROLE_ADMIN,APPLICATION-METRICS,READ,APPLICATION
ROLE_ADMIN,HEALTH-CHECKS,READ,APPLICATION
ROLE_ADMIN,CONFIGURATION,READ,APPLICATION
ROLE_ADMIN,AUDITS,READ,APPLICATION
ROLE_ADMIN,LOGS,READ,APPLICATION
ROLE_ADMIN,LOGS,UPDATE,APPLICATION
ROLE_ADMIN,API,READ,APPLICATION
ROLE_ADMIN,DATABASE,READ,APPLICATION
ROLE_ADMIN,PERMISSION-MANAGEMENT,READ,APPLICATION
ROLE_ADMIN,PERMISSION-MANAGEMENT,UPDATE,APPLICATION
ROLE_ADMIN,PERMISSION-MANAGEMENT,DELETE,APPLICATION
ROLE_ADMIN,DASHBOARDS,READ,APPLICATION
ROLE_ADMIN,DASHBOARDS,WRITE,APPLICATION
ROLE_ADMIN,VISUAL-METADATA,READ,APPLICATION
ROLE_ADMIN,VISUAL-METADATA,WRITE,APPLICATION
ROLE_ADMIN,VISUAL-METADATA,UPDATE,APPLICATION
ROLE_ADMIN,VISUAL-METADATA,DELETE,APPLICATION
ROLE_ADMIN,CONNECTIONS,READ,APPLICATION
ROLE_ADMIN,CONNECTIONS,WRITE,APPLICATION
ROLE_ADMIN,CONNECTIONS,UPDATE,APPLICATION
ROLE_ADMIN,CONNECTIONS,DELETE,APPLICATION
ROLE_ADMIN,DATASOURCES,READ,APPLICATION
ROLE_ADMIN,DATASOURCES,WRITE,APPLICATION
ROLE_ADMIN,DATASOURCES,UPDATE,APPLICATION
ROLE_ADMIN,DATASOURCES,DELETE,APPLICATION
ROLE_ADMIN,DRILLDOWN,READ,APPLICATION
ROLE_ADMIN,DRILLDOWN,WRITE,APPLICATION
ROLE_ADMIN,DRILLDOWN,UPDATE,APPLICATION
ROLE_ADMIN,DRILLDOWN,DELETE,APPLICATION
ROLE_ADMIN,VISUALIZATIONS,READ,APPLICATION
ROLE_ADMIN,VISUALIZATIONS,WRITE,APPLICATION
ROLE_ADMIN,VISUALIZATIONS,UPDATE,APPLICATION
ROLE_ADMIN,VISUALIZATIONS,DELETE,APPLICATION
ROLE_ADMIN,SERVICE,READ,APPLICATION
ROLE_ADMIN,SERVICE,WRITE,APPLICATION
ROLE_ADMIN,SERVICE,UPDATE,APPLICATION
ROLE_ADMIN,SERVICE,DELETE,APPLICATION
ROLE_ADMIN,VISUALIZATION_COLORS,READ,APPLICATION
ROLE_ADMIN,VISUALIZATION_COLORS,WRITE,APPLICATION
ROLE_ADMIN,VISUALIZATION_COLORS,UPDATE,APPLICATION
ROLE_ADMIN,VISUALIZATION_COLORS,DELETE,APPLICATION
ROLE_DEVELOPMENT,DASHBOARDS,READ,APPLICATION
ROLE_DEVELOPMENT,DASHBOARDS,WRITE,APPLICATION
ROLE_DEVELOPMENT,VISUAL-METADATA,READ,APPLICATION
ROLE_DEVELOPMENT,VISUAL-METADATA,WRITE,APPLICATION
ROLE_DEVELOPMENT,VISUAL-METADATA,UPDATE,APPLICATION
ROLE_DEVELOPMENT,VISUAL-METADATA,DELETE,APPLICATION
ROLE_DEVELOPMENT,DATASOURCES,READ,APPLICATION
ROLE_DEVELOPMENT,DRILLDOWN,READ,APPLICATION
ROLE_DEVELOPMENT,VISUALIZATIONS,READ,APPLICATION
ROLE_USER,VISUAL-METADATA,READ,APPLICATION
ROLE_USER,VISUALIZATIONS,READ,APPLICATION
ROLE_USER,DASHBOARDS,READ,APPLICATION
ROLE_ADMIN,FILE_UPLOADER,WRITE,APPLICATION
ROLE_ADMIN,SCHEDULED_REPORT,SHARE,APPLICATION
ROLE_ADMIN,NOTIFICATION_CONFIG,READ,APPLICATION
ROLE_ADMIN,NOTIFICATION_CONFIG,WRITE,APPLICATION
ROLE_ADMIN,NOTIFICATION_CONFIG,UPDATE,APPLICATION
ROLE_ADMIN,NOTIFICATION_CONFIG,DELETE,APPLICATION
ROLE_DEVELOPMENT,NOTIFICATION_CONFIG,READ,APPLICATION
ROLE_DEVELOPMENT,NOTIFICATION_CONFIG,WRITE,APPLICATION
ROLE_DEVELOPMENT,NOTIFICATION_CONFIG,UPDATE,APPLICATION
ROLE_DEVELOPMENT,NOTIFICATION_CONFIG,DELETE,APPLICATION
